Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 74541 56726.822954 u 15.392 0.011 
 74541 56726.823632 u 15.375 0.013 
 74541 56726.903935 u 15.015 0.012 
 74541 56726.904600 u 15.041 0.012 
 74541 56452.499102 g 15.532 0.011 
 74541 56452.701691 g 14.685 0.010 
 74541 56452.702231 g 14.650 0.010 
 74541 56452.755016 g 15.156 0.010 
 74541 56452.755566 g 15.169 0.011 
 74541 56453.467899 g 15.489 0.016 
 74541 56453.474437 g 15.446 0.013 
 74541 56453.479965 g 15.630 0.015 
 74541 56453.480388 g 15.592 0.014 
 74541 56453.570419 g 15.414 0.010 
 74541 56453.570859 g 15.424 0.011 
 74541 56453.577840 g 15.187 0.010 
 74541 56453.578284 g 15.162 0.010 
 74541 56453.680803 g 14.836 0.013 
 74541 56453.681369 g 14.762 0.010 
 74541 56453.751591 g 15.168 0.014 
 74541 56453.752177 g 15.153 0.010 
 74541 56465.458279 g 14.960 0.012 
 74541 56465.465990 g 15.011 0.011 
 74541 56465.466423 g 15.018 0.013 
 74541 56467.466080 g 15.205 0.012 
 74541 56467.466518 g 15.205 0.011 
 74541 56724.817498 g 15.603 0.011 
 74541 56724.817962 g 15.617 0.011 
 74541 56724.840334 g 15.582 0.011 
 74541 56724.860922 g 15.166 0.011 
 74541 56725.827082 g 15.470 0.011 
 74541 56725.847325 g 14.798 0.010 
 74541 56725.847757 g 14.784 0.011 
 74541 56726.862556 g 14.258 0.010 
 74541 56726.903067 g 14.554 0.012 
 74541 56726.903508 g 14.561 0.011 
 74541 56451.718102 r 14.668 0.010 
 74541 56452.496463 r 15.292 0.011 
 74541 56452.496898 r 15.286 0.011 
 74541 56452.610313 r 14.743 0.010 
 74541 56452.610753 r 14.700 0.010 
 74541 56452.699052 r 14.654 0.010 
 74541 56452.751804 r 14.883 0.012 
 74541 56452.752352 r 14.890 0.012 
 74541 56453.465704 r 15.297 0.014 
 74541 56453.476666 r 15.395 0.018 
 74541 56453.477356 r 15.413 0.020 
 74541 56453.567081 r 15.299 0.023 
 74541 56453.567781 r 15.275 0.011 
 74541 56453.568211 r 15.295 0.011 
 74541 56453.575206 r 15.139 0.011 
 74541 56453.575657 r 15.126 0.011 
 74541 56453.677469 r 14.650 0.013 
 74541 56453.678173 r 14.700 0.010 
 74541 56453.678605 r 14.745 0.013 
 74541 56453.747565 r 15.039 0.014 
 74541 56453.748378 r 14.969 0.011 
 74541 56453.748937 r 14.987 0.012 
 74541 56465.454568 r 14.840 0.013 
 74541 56465.455249 r 14.861 0.012 
 74541 56465.455691 r 14.869 0.011 
 74541 56465.462665 r 14.873 0.017 
 74541 56465.463356 r 14.847 0.012 
 74541 56465.463783 r 14.886 0.013 
 74541 56467.462713 r 14.928 0.013 
 74541 56467.463393 r 14.958 0.011 
 74541 56467.463847 r 14.971 0.011 
 74541 56724.837694 r 15.390 0.012 
 74541 56724.838133 r 15.359 0.013 
 74541 56724.881196 r 14.509 0.011 
 74541 56725.824447 r 15.313 0.011 
 74541 56725.824889 r 15.293 0.012 
 74541 56725.844726 r 14.877 0.012 
 74541 56725.845162 r 14.870 0.012 
 74541 56726.810271 r 15.199 0.012 
 74541 56726.810697 r 15.192 0.014 
 74541 56726.819819 r 14.946 0.012 
 74541 56726.839819 r 14.421 0.011 
 74541 56726.859958 r 14.399 0.011 
 74541 56726.860383 r 14.401 0.011 
 74541 56726.880764 r 14.499 0.010 
 74541 56726.900873 r 14.602 0.011 
 74541 56451.719126 i 14.779 0.012 
 74541 56451.719677 i 14.768 0.013 
 74541 56452.497345 i 15.258 0.015 
 74541 56452.497785 i 15.267 0.015 
 74541 56452.611183 i 14.822 0.013 
 74541 56452.611621 i 14.780 0.010 
 74541 56452.699593 i 14.755 0.011 
 74541 56452.700079 i 14.764 0.013 
 74541 56452.752902 i 14.926 0.013 
 74541 56452.753449 i 14.935 0.012 
 74541 56453.466139 i 15.252 0.016 
 74541 56453.466599 i 15.326 0.017 
 74541 56453.473140 i 15.330 0.029 
 74541 56453.568639 i 15.275 0.011 
 74541 56453.569078 i 15.320 0.012 
 74541 56453.576087 i 15.163 0.013 
 74541 56453.576522 i 15.141 0.012 
 74541 56453.679063 i 14.807 0.012 
 74541 56453.679504 i 14.803 0.011 
 74541 56465.456542 i 14.822 0.014 
 74541 56465.464214 i 14.926 0.012 
 74541 56465.464655 i 14.974 0.014 
 74541 56467.464288 i 14.945 0.013 
 74541 56467.464715 i 14.910 0.018 
 74541 56724.815764 i 15.347 0.012 
 74541 56724.816199 i 15.367 0.015 
 74541 56724.838569 i 15.351 0.015 
 74541 56724.839012 i 15.332 0.012 
 74541 56724.859179 i 15.152 0.015 
 74541 56724.859614 i 15.130 0.011 
 74541 56724.882496 i 14.641 0.012 
 74541 56725.825352 i 15.279 0.014 
 74541 56725.825782 i 15.275 0.014 
 74541 56725.845598 i 14.921 0.012 
 74541 56725.846027 i 14.906 0.013 
 74541 56726.811144 i 15.197 0.016 
 74541 56726.811663 i 15.197 0.016 
 74541 56726.820248 i 15.016 0.014 
 74541 56726.820689 i 14.974 0.014 
 74541 56451.720223 z 14.778 0.013 
 74541 56451.720708 z 14.776 0.012 
 74541 56452.498233 z 15.238 0.020 
 74541 56452.498661 z 15.266 0.015 
 74541 56452.612057 z 14.822 0.014 
 74541 56452.612487 z 14.816 0.011 
 74541 56452.700608 z 14.770 0.011 
 74541 56452.701148 z 14.768 0.012 
 74541 56452.753959 z 14.922 0.012 
 74541 56452.754501 z 15.060 0.015 
 74541 56453.467450 z 15.261 0.023 
 74541 56453.479073 z 15.220 0.015 
 74541 56453.479532 z 15.250 0.020 
 74541 56453.569520 z 15.235 0.013 
 74541 56453.569950 z 15.250 0.015 
 74541 56453.576983 z 15.145 0.020 
 74541 56453.577412 z 15.150 0.015 
 74541 56453.679926 z 14.816 0.015 
 74541 56453.680353 z 14.769 0.011 
 74541 56453.751075 z 15.056 0.020 
 74541 56465.457415 z 14.825 0.013 
 74541 56465.465093 z 14.885 0.012 
 74541 56465.465539 z 14.884 0.013 
 74541 56467.465179 z 14.920 0.013 
 74541 56467.465622 z 14.889 0.019 
 74541 56724.816635 z 15.318 0.011 
 74541 56724.817063 z 15.329 0.013 
 74541 56724.839453 z 15.344 0.012 
 74541 56724.839896 z 15.350 0.014 
 74541 56724.860045 z 15.148 0.011 
 74541 56724.860476 z 15.137 0.013 
 74541 56724.882934 z 14.662 0.012 
 74541 56724.883370 z 14.669 0.011 
 74541 56725.826223 z 15.284 0.019 
 74541 56725.826647 z 15.289 0.013 
 74541 56725.846455 z 14.954 0.011 
 74541 56725.846892 z 14.936 0.015 
 74541 56725.876824 z 14.588 0.014 
 74541 56725.877247 z 14.582 0.013 
 74541 56726.812106 z 15.197 0.016 
 74541 56726.812548 z 15.187 0.014 
 74541 56726.821137 z 15.014 0.013 
 74541 56726.821562 z 14.979 0.012 
 74541 56726.841542 z 14.597 0.010 
 74541 56726.841984 z 14.606 0.013 
 74541 56726.861683 z 14.587 0.012 
 74541 56726.862115 z 14.594 0.012 
 74541 56726.882066 z 14.657 0.014 
 74541 56726.882514 z 14.661 0.013 
 74541 56726.902182 z 14.714 0.013 
 74541 56726.902619 z 14.715 0.013 
 74542 56451.722332 u 16.100 0.012 
 74542 56451.723139 u 16.142 0.011 
 74542 56452.499995 u 14.715 0.010 
 74542 56452.500658 u 14.749 0.011 
 74542 56452.614566 u 15.517 0.011 
 74542 56452.702727 u 15.885 0.012 
 74542 56452.703502 u 15.911 0.013 
 74542 56452.756113 u 16.020 0.013 
 74542 56452.756899 u 15.964 0.011 
 74542 56453.571283 u 15.069 0.010 
 74542 56453.571960 u 15.066 0.012 
 74542 56453.578740 u 14.844 0.013 
 74542 56453.579412 u 14.824 0.012 
 74542 56453.681792 u 15.285 0.012 
 74542 56453.682464 u 15.303 0.014 
 74542 56467.466971 u 15.120 0.010 
 74542 56467.467647 u 15.118 0.011 
 74542 56725.828639 u 15.937 0.018 
 74542 56726.813869 u 16.077 0.015 
 74542 56726.814544 u 16.064 0.013 
 74542 56726.843316 u 16.047 0.010 
 74542 56726.843999 u 16.085 0.010 
 74542 56726.863423 u 16.089 0.010 
 74542 56726.883851 u 16.219 0.012 
 74542 56726.903935 u 16.224 0.014 
 74542 56726.904600 u 16.254 0.019 
 74542 56453.467899 g 15.472 0.018 
 74542 56453.479965 g 15.551 0.014 
 74542 56453.480388 g 15.497 0.014 
 74542 56453.680803 g 14.978 0.014 
 74542 56453.751591 g 15.094 0.014 
 74542 56453.752177 g 15.093 0.010 
 74542 56465.465990 g 15.359 0.029 
 74542 56465.466423 g 15.394 0.015 
 74542 56467.466518 g 14.780 0.015 
 74542 56451.718635 r 15.175 0.011 
 74542 56452.496898 r 14.450 0.010 
 74542 56453.465704 r 15.170 0.013 
 74542 56453.568211 r 14.675 0.010 
 74542 56453.678605 r 14.757 0.013 
 74542 56451.719126 i 15.124 0.010 
 74542 56451.719677 i 15.102 0.012 
 74542 56452.497345 i 14.540 0.012 
 74542 56452.497785 i 14.561 0.012 
 74542 56452.611183 i 14.828 0.013 
 74542 56452.611621 i 14.812 0.010 
 74542 56452.752902 i 15.063 0.011 
 74542 56452.753449 i 15.059 0.012 
 74542 56453.466139 i 15.159 0.014 
 74542 56453.466599 i 15.244 0.013 
 74542 56453.472711 i 15.194 0.035 
 74542 56453.473140 i 15.276 0.027 
 74542 56453.478647 i 15.360 0.014 
 74542 56453.568639 i 14.751 0.010 
 74542 56453.569078 i 14.764 0.010 
 74542 56453.576087 i 14.621 0.011 
 74542 56453.679063 i 14.754 0.010 
 74542 56453.679504 i 14.775 0.010 
 74542 56465.456542 i 15.124 0.047 
 74542 56465.464655 i 15.035 0.020 
 74542 56726.811663 i 15.167 0.012 
 74542 56726.840680 i 15.171 0.012 
 74542 56726.901746 i 15.334 0.064 
 74542 56451.720708 z 15.086 0.011 
 74542 56452.498233 z 14.535 0.011 
 74542 56452.498661 z 14.559 0.010 
 74542 56452.612057 z 14.809 0.013 
 74542 56452.612487 z 14.806 0.011 
 74542 56452.700608 z 14.956 0.012 
 74542 56452.701148 z 14.952 0.011 
 74542 56452.753959 z 15.013 0.012 
 74542 56453.467450 z 15.216 0.019 
 74542 56453.479073 z 15.116 0.013 
 74542 56453.479532 z 15.121 0.017 
 74542 56453.569520 z 14.722 0.012 
 74542 56453.569950 z 14.748 0.011 
 74542 56453.576983 z 14.649 0.017 
 74542 56453.577412 z 14.644 0.014 
 74542 56453.679926 z 14.794 0.019 
 74542 56453.680353 z 14.762 0.012 
 74542 56453.750520 z 14.800 0.013 
 74542 56724.816635 z 14.654 0.010 
 74542 56724.817063 z 14.663 0.011 
 74542 56724.839453 z 14.723 0.011 
 74542 56724.839896 z 14.710 0.011 
 74542 56724.860045 z 14.770 0.011 
 74542 56724.860476 z 14.768 0.011 
 74542 56724.882934 z 14.798 0.011 
 74542 56724.883370 z 14.782 0.010 
 74542 56725.826223 z 15.163 0.015 
 74542 56725.826647 z 15.151 0.011 
 74542 56725.846455 z 14.840 0.010 
 74542 56725.846892 z 14.831 0.012 
 74542 56725.876824 z 14.563 0.014 
 74542 56725.877247 z 14.565 0.013 
 74542 56726.812106 z 15.110 0.013 
 74542 56726.812548 z 15.107 0.012 
 74542 56726.821137 z 15.095 0.011 
 74542 56726.821562 z 15.105 0.012 
 74542 56726.841542 z 15.094 0.013 
 74542 56726.841984 z 15.128 0.014 
 74542 56726.861683 z 15.184 0.012 
 74542 56726.862115 z 15.181 0.014 
 74542 56726.882066 z 15.216 0.016 
 74542 56726.882514 z 15.218 0.013 
 74542 56726.902182 z 15.228 0.014 
 74542 56726.902619 z 15.252 0.015 
 74545 56451.722332 u 16.088 0.011 
 74545 56451.723139 u 16.127 0.011 
 74545 56452.499995 u 15.148 0.010 
 74545 56452.500658 u 15.148 0.011 
 74545 56452.613786 u 15.485 0.011 
 74545 56452.614566 u 15.492 0.012 
 74545 56452.702727 u 15.849 0.012 
 74545 56452.703502 u 15.835 0.011 
 74545 56452.756113 u 15.990 0.013 
 74545 56452.756899 u 15.989 0.011 
 74545 56453.481520 u 16.141 0.019 
 74545 56453.571283 u 15.631 0.013 
 74545 56453.571960 u 15.604 0.012 
 74545 56453.578740 u 15.410 0.013 
 74545 56453.681792 u 15.346 0.011 
 74545 56453.682464 u 15.390 0.013 
 74545 56467.466971 u 15.998 0.011 
 74545 56467.467647 u 15.987 0.011 
 74545 56724.884692 u 15.369 0.013 
 74545 56724.885357 u 15.381 0.011 
 74545 56725.827970 u 16.204 0.013 
 74545 56725.828639 u 16.227 0.015 
 74545 56725.848211 u 16.018 0.010 
 74545 56725.848901 u 15.994 0.011 
 74545 56726.813869 u 16.134 0.014 
 74545 56726.814544 u 16.167 0.016 
 74545 56726.822954 u 16.138 0.012 
 74545 56726.823632 u 16.165 0.014 
 74545 56726.843316 u 16.112 0.012 
 74545 56726.843999 u 16.144 0.010 
 74545 56726.863423 u 16.100 0.010 
 74545 56726.864099 u 16.090 0.012 
 74545 56726.883851 u 16.155 0.011 
 74545 56726.884562 u 16.159 0.011 
 74545 56726.903935 u 16.250 0.017 
 74545 56726.904600 u 16.261 0.015 
 74545 56451.721220 g 15.429 0.010 
 74545 56451.721773 g 15.441 0.010 
 74545 56452.499102 g 14.675 0.010 
 74545 56452.499554 g 14.665 0.010 
 74545 56452.612929 g 14.897 0.010 
 74545 56452.701691 g 15.205 0.010 
 74545 56452.702231 g 15.194 0.011 
 74545 56452.755016 g 15.480 0.010 
 74545 56452.755566 g 15.350 0.011 
 74545 56453.474437 g 15.301 0.012 
 74545 56453.480388 g 15.439 0.011 
 74545 56453.570419 g 15.093 0.010 
 74545 56453.570859 g 15.094 0.011 
 74545 56453.577840 g 14.916 0.010 
 74545 56453.578284 g 14.889 0.010 
 74545 56453.680803 g 14.937 0.013 
 74545 56453.681369 g 14.897 0.010 
 74545 56453.752177 g 15.107 0.010 
 74545 56465.458279 g 15.459 0.013 
 74545 56465.465990 g 15.451 0.011 
 74545 56465.466423 g 15.459 0.012 
 74545 56467.466080 g 15.345 0.012 
 74545 56467.466518 g 15.335 0.010 
 74545 56724.817498 g 14.430 0.010 
 74545 56724.817962 g 14.426 0.010 
 74545 56724.860922 g 14.716 0.010 
 74545 56724.883814 g 14.825 0.010 
 74545 56724.884254 g 14.824 0.010 
 74545 56725.827082 g 15.571 0.011 
 74545 56725.827515 g 15.568 0.011 
 74545 56725.847325 g 15.414 0.011 
 74545 56725.847757 g 15.412 0.012 
 74545 56725.878141 g 14.678 0.010 
 74545 56726.812985 g 15.485 0.011 
 74545 56726.813433 g 15.475 0.011 
 74545 56726.822069 g 15.480 0.011 
 74545 56726.822504 g 15.495 0.011 
 74545 56726.842416 g 15.448 0.010 
 74545 56726.842855 g 15.451 0.011 
 74545 56726.862556 g 15.453 0.010 
 74545 56726.862992 g 15.447 0.011 
 74545 56726.882952 g 15.593 0.010 
 74545 56726.883409 g 15.519 0.012 
 74545 56726.903067 g 15.569 0.013 
 74545 56726.903508 g 15.544 0.013 
 74545 56451.717357 r 15.118 0.012 
 74545 56451.718102 r 15.116 0.013 
 74545 56451.718635 r 15.128 0.011 
 74545 56452.495761 r 14.695 0.010 
 74545 56452.496463 r 14.694 0.010 
 74545 56452.496898 r 14.678 0.010 
 74545 56452.502189 r 14.631 0.015 
 74545 56452.609624 r 14.784 0.012 
 74545 56452.610313 r 14.798 0.011 
 74545 56452.610753 r 14.804 0.011 
 74545 56452.697765 r 14.961 0.013 
 74545 56452.698514 r 14.972 0.011 
 74545 56452.699052 r 14.962 0.012 
 74545 56452.751003 r 15.054 0.015 
 74545 56452.751804 r 15.062 0.011 
 74545 56452.752352 r 15.070 0.015 
 74545 56453.465704 r 15.150 0.011 
 74545 56453.476666 r 15.265 0.014 
 74545 56453.567081 r 15.019 0.012 
 74545 56453.567781 r 15.006 0.011 
 74545 56453.568211 r 15.004 0.010 
 74545 56453.575206 r 14.881 0.010 
 74545 56453.575657 r 14.866 0.011 
 74545 56453.677469 r 14.729 0.012 
 74545 56453.678173 r 14.758 0.011 
 74545 56453.678605 r 14.806 0.013 
 74545 56453.747565 r 14.908 0.013 
 74545 56453.748378 r 14.923 0.011 
 74545 56453.748937 r 14.911 0.012 
 74545 56465.454568 r 15.159 0.011 
 74545 56465.455249 r 15.193 0.011 
 74545 56465.455691 r 15.191 0.011 
 74545 56465.462665 r 15.169 0.012 
 74545 56465.463356 r 15.177 0.011 
 74545 56465.463783 r 15.197 0.013 
 74545 56467.462713 r 15.064 0.010 
 74545 56467.463393 r 15.029 0.011 
 74545 56467.463847 r 15.050 0.010 
 74545 56724.814885 r 14.492 0.010 
 74545 56724.815323 r 14.498 0.010 
 74545 56724.837694 r 14.577 0.010 
 74545 56724.838133 r 14.583 0.011 
 74545 56724.858302 r 14.679 0.011 
 74545 56724.858738 r 14.680 0.010 
 74545 56724.881196 r 14.746 0.010 
 74545 56724.881636 r 14.750 0.010 
 74545 56725.824447 r 15.287 0.011 
 74545 56725.824889 r 15.308 0.011 
 74545 56725.844726 r 15.225 0.011 
 74545 56725.845162 r 15.220 0.011 
 74545 56725.875055 r 14.715 0.010 
 74545 56725.875495 r 14.722 0.012 
 74545 56726.810271 r 15.200 0.011 
 74545 56726.810697 r 15.200 0.012 
 74545 56726.819387 r 15.200 0.012 
 74545 56726.819819 r 15.202 0.012 
 74545 56726.839819 r 15.195 0.011 
 74545 56726.840245 r 15.225 0.011 
 74545 56726.859958 r 15.200 0.012 
 74545 56726.860383 r 15.201 0.012 
 74545 56726.880322 r 15.250 0.012 
 74545 56726.880764 r 15.237 0.011 
 74545 56726.900425 r 15.298 0.011 
 74545 56726.900873 r 15.296 0.012 
 74545 56451.719126 i 15.087 0.011 
 74545 56451.719677 i 15.089 0.013 
 74545 56452.497345 i 14.765 0.012 
 74545 56452.497785 i 14.774 0.012 
 74545 56452.611183 i 14.831 0.014 
 74545 56452.611621 i 14.827 0.010 
 74545 56452.699593 i 14.947 0.012 
 74545 56452.700079 i 14.943 0.015 
 74545 56452.752902 i 15.012 0.014 
 74545 56452.753449 i 15.016 0.013 
 74545 56453.466139 i 15.100 0.013 
 74545 56453.466599 i 15.154 0.013 
 74545 56453.478647 i 15.244 0.012 
 74545 56453.568639 i 15.001 0.010 
 74545 56453.569078 i 15.081 0.011 
 74545 56453.576087 i 14.906 0.013 
 74545 56453.576522 i 14.884 0.012 
 74545 56453.679063 i 14.808 0.012 
 74545 56453.679504 i 14.800 0.010 
 74545 56453.749491 i 14.896 0.012 
 74545 56465.456542 i 15.125 0.011 
 74545 56465.464214 i 15.146 0.012 
 74545 56465.464655 i 15.157 0.011 
 74545 56467.464288 i 15.019 0.010 
 74545 56467.464715 i 15.001 0.012 
 74545 56724.815764 i 14.613 0.011 
 74545 56724.816199 i 14.613 0.010 
 74545 56724.838569 i 14.682 0.010 
 74545 56724.859179 i 14.780 0.011 
 74545 56724.859614 i 14.737 0.010 
 74545 56724.882066 i 14.793 0.011 
 74545 56724.882496 i 14.794 0.011 
 74545 56725.825352 i 15.273 0.013 
 74545 56725.825782 i 15.251 0.014 
 74545 56725.845598 i 15.186 0.013 
 74545 56725.846027 i 15.185 0.012 
 74545 56726.811144 i 15.157 0.014 
 74545 56726.811663 i 15.157 0.012 
 74545 56726.820248 i 15.164 0.013 
 74545 56726.820689 i 15.158 0.013 
 74545 56726.840680 i 15.145 0.013 
 74545 56726.841117 i 15.159 0.013 
 74545 56726.860818 i 15.173 0.011 
 74545 56726.861259 i 15.162 0.013 
 74545 56726.881188 i 15.207 0.013 
 74545 56726.881629 i 15.225 0.010 
 74545 56726.901746 i 15.259 0.016 
 74545 56451.720223 z 15.079 0.013 
 74545 56451.720708 z 15.058 0.012 
 74545 56452.498233 z 14.764 0.014 
 74545 56452.498661 z 14.775 0.013 
 74545 56452.612057 z 14.824 0.013 
 74545 56452.612487 z 14.805 0.011 
 74545 56452.700608 z 14.930 0.012 
 74545 56452.701148 z 14.912 0.012 
 74545 56452.753959 z 14.992 0.012 
 74545 56452.754501 z 14.991 0.012 
 74545 56453.467450 z 15.114 0.020 
 74545 56453.479073 z 15.087 0.013 
 74545 56453.479532 z 15.068 0.013 
 74545 56453.569520 z 14.988 0.012 
 74545 56453.569950 z 15.005 0.015 
 74545 56453.576983 z 14.915 0.018 
 74545 56453.577412 z 14.910 0.021 
 74545 56453.679926 z 14.819 0.015 
 74545 56453.680353 z 14.792 0.011 
 74545 56453.750520 z 14.860 0.014 
 74545 56453.751075 z 14.890 0.013 
 74545 56465.457415 z 15.127 0.012 
 74545 56465.465093 z 15.117 0.011 
 74545 56465.465539 z 15.109 0.012 
 74545 56467.465179 z 14.961 0.012 
 74545 56467.465622 z 14.964 0.011 
 74545 56724.816635 z 14.614 0.010 
 74545 56724.817063 z 14.610 0.010 
 74545 56724.839453 z 14.672 0.011 
 74545 56724.839896 z 14.683 0.011 
 74545 56724.860045 z 14.757 0.010 
 74545 56724.860476 z 14.741 0.011 
 74545 56724.882934 z 14.777 0.011 
 74545 56724.883370 z 14.778 0.010 
 74545 56725.826223 z 15.237 0.016 
 74545 56725.826647 z 15.230 0.012 
 74545 56725.846455 z 15.168 0.011 
 74545 56725.846892 z 15.162 0.015 
 74545 56725.876824 z 14.797 0.013 
 74545 56725.877247 z 14.790 0.013 
 74545 56726.812106 z 15.121 0.014 
 74545 56726.812548 z 15.124 0.013 
 74545 56726.821137 z 15.121 0.013 
 74545 56726.821562 z 15.109 0.012 
 74545 56726.841542 z 15.114 0.016 
 74545 56726.841984 z 15.122 0.013 
 74545 56726.861683 z 15.137 0.013 
 74545 56726.862115 z 15.155 0.011 
 74545 56726.882066 z 15.194 0.021 
 74545 56726.882514 z 15.189 0.015 
 74545 56726.902182 z 15.254 0.014 
 74545 56726.902619 z 15.220 0.016 
 74561 56451.723139 u 15.708 0.011 
 74561 56452.613786 u 15.723 0.011 
 74561 56452.614566 u 15.718 0.010 
 74561 56452.702727 u 15.330 0.010 
 74561 56452.703502 u 15.324 0.011 
 74561 56452.756113 u 15.240 0.011 
 74561 56453.481520 u 15.717 0.013 
 74561 56453.571283 u 15.329 0.010 
 74561 56453.571960 u 15.317 0.011 
 74561 56453.578740 u 15.328 0.011 
 74561 56453.681792 u 15.223 0.011 
 74561 56467.466971 u 15.288 0.010 
 74561 56467.467647 u 15.280 0.010 
 74561 56724.818405 u 15.189 0.010 
 74561 56724.841213 u 15.249 0.010 
 74561 56724.862477 u 15.316 0.010 
 74561 56724.884692 u 15.423 0.010 
 74561 56725.827970 u 15.665 0.010 
 74561 56725.828639 u 15.667 0.011 
 74561 56725.848211 u 15.701 0.010 
 74561 56725.878581 u 15.733 0.010 
 74561 56726.813869 u 15.557 0.011 
 74561 56726.814544 u 15.541 0.011 
 74561 56726.903935 u 15.299 0.010 
 74561 56726.904600 u 15.288 0.011 
 74561 56451.721220 g 15.158 0.010 
 74561 56452.499102 g 14.981 0.010 
 74561 56452.499554 g 14.970 0.010 
 74561 56452.612929 g 15.121 0.010 
 74561 56452.613357 g 15.119 0.010 
 74561 56452.701691 g 14.820 0.010 
 74561 56452.702231 g 14.811 0.010 
 74561 56452.755016 g 14.794 0.010 
 74561 56452.755566 g 14.785 0.011 
 74561 56453.467899 g 15.172 0.013 
 74561 56453.474437 g 15.283 0.011 
 74561 56453.479965 g 15.255 0.012 
 74561 56453.480388 g 15.177 0.011 
 74561 56453.570419 g 14.779 0.010 
 74561 56453.570859 g 14.767 0.010 
 74561 56453.577840 g 14.801 0.010 
 74561 56453.578284 g 14.806 0.010 
 74561 56453.751591 g 14.865 0.013 
 74561 56453.752177 g 14.819 0.010 
 74561 56465.458279 g 14.983 0.011 
 74561 56465.465990 g 14.976 0.011 
 74561 56465.466423 g 14.967 0.011 
 74561 56467.466080 g 14.753 0.010 
 74561 56467.466518 g 14.763 0.010 
 74561 56724.817498 g 14.698 0.010 
 74561 56724.817962 g 14.694 0.010 
 74561 56724.840334 g 14.725 0.010 
 74561 56724.840768 g 14.741 0.011 
 74561 56724.860922 g 14.806 0.010 
 74561 56724.883814 g 14.875 0.010 
 74561 56724.884254 g 14.862 0.010 
 74561 56725.827515 g 15.083 0.010 
 74561 56725.847325 g 15.117 0.010 
 74561 56725.847757 g 15.112 0.010 
 74561 56725.877691 g 15.128 0.010 
 74561 56725.878141 g 15.137 0.010 
 74561 56726.812985 g 14.997 0.010 
 74561 56726.813433 g 15.001 0.010 
 74561 56726.822069 g 14.958 0.011 
 74561 56726.842416 g 14.851 0.010 
 74561 56726.862556 g 14.821 0.010 
 74561 56726.862992 g 14.809 0.010 
 74561 56726.882952 g 14.786 0.010 
 74561 56726.883409 g 14.793 0.011 
 74561 56726.903067 g 14.735 0.011 
 74561 56726.903508 g 14.752 0.011 
 74561 56451.718102 r 14.988 0.011 
 74561 56451.718635 r 14.964 0.010 
 74561 56452.495761 r 14.846 0.010 
 74561 56452.496463 r 14.859 0.010 
 74561 56452.496898 r 14.868 0.010 
 74561 56452.502189 r 14.843 0.012 
 74561 56452.609624 r 14.966 0.010 
 74561 56452.610313 r 14.980 0.010 
 74561 56452.610753 r 14.967 0.010 
 74561 56452.697765 r 14.741 0.012 
 74561 56452.698514 r 14.745 0.010 
 74561 56452.699052 r 14.739 0.011 
 74561 56452.751003 r 14.699 0.012 
 74561 56452.751804 r 14.682 0.010 
 74561 56452.752352 r 14.682 0.011 
 74561 56453.476666 r 14.922 0.014 
 74561 56453.567081 r 14.753 0.011 
 74561 56453.567781 r 14.768 0.010 
 74561 56453.568211 r 14.743 0.010 
 74561 56453.574528 r 14.733 0.011 
 74561 56453.575206 r 14.734 0.010 
 74561 56453.575657 r 14.731 0.010 
 74561 56453.677469 r 14.644 0.012 
 74561 56453.678173 r 14.630 0.010 
 74561 56453.678605 r 14.685 0.012 
 74561 56453.747565 r 14.758 0.011 
 74561 56453.748378 r 14.745 0.011 
 74561 56453.748937 r 14.731 0.011 
 74561 56465.454568 r 14.804 0.010 
 74561 56465.455249 r 14.832 0.010 
 74561 56465.455691 r 14.781 0.011 
 74561 56465.462665 r 14.829 0.010 
 74561 56465.463356 r 14.856 0.010 
 74561 56465.463783 r 14.850 0.011 
 74561 56467.462713 r 14.717 0.010 
 74561 56467.463393 r 14.710 0.010 
 74561 56467.463847 r 14.721 0.010 
 74561 56724.814885 r 14.660 0.010 
 74561 56724.815323 r 14.673 0.010 
 74561 56724.837694 r 14.678 0.010 
 74561 56724.838133 r 14.675 0.011 
 74561 56724.858302 r 14.722 0.010 
 74561 56724.858738 r 14.724 0.010 
 74561 56724.881196 r 14.777 0.010 
 74561 56724.881636 r 14.766 0.010 
 74561 56725.824447 r 14.910 0.010 
 74561 56725.824889 r 14.906 0.011 
 74561 56725.844726 r 14.931 0.010 
 74561 56725.845162 r 14.939 0.010 
 74561 56725.875055 r 14.963 0.010 
 74561 56725.875495 r 14.955 0.010 
 74561 56726.810271 r 14.889 0.010 
 74561 56726.810697 r 14.880 0.010 
