Title: Absolute Magnitudes and Colors of RR Lyrae stars in DECam Passbands 
       from Photometry of the Globular Cluster M5 
Authors: Vivas A.K., Saha A., Olsen K., Blum R., Olszewski E.W., 
         Claver J., Valdes F., Axelrod T., Kaleida C., Kunder A., 
         Narayan G., Matheson T., Walker A. 
Table: Individual measurements in ugriz of the periodic variables 
       in the field of M5
================================================================================
Byte-by-byte Description of file: ajaa7fedt2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     ID      Identification number
   8- 19 F12.6  d       MJD     Modified Julian Date
  21- 21 A1     ---     Filter  Filter
  23- 28 F6.3   mag     mag     Apparent magnitude in Filter
  30- 34 F5.3   mag   e_mag     Error in mag
--------------------------------------------------------------------------------
 20680 56452.698514 r 15.176 0.012 
 20680 56452.699052 r 15.175 0.011 
 20680 56452.751003 r 15.274 0.012 
 20680 56452.751804 r 15.268 0.011 
 20680 56452.752352 r 15.276 0.013 
 20680 56453.465264 r 14.437 0.011 
 20680 56453.465704 r 14.514 0.010 
 20680 56453.476666 r 14.245 0.010 
 20680 56453.477356 r 14.119 0.011 
 20680 56453.567081 r 14.857 0.010 
 20680 56453.567781 r 14.840 0.011 
 20680 56453.568211 r 14.824 0.010 
 20680 56453.574528 r 14.864 0.011 
 20680 56453.575206 r 14.848 0.011 
 20680 56453.575657 r 14.861 0.010 
 20680 56453.677469 r 15.160 0.011 
 20680 56453.678173 r 15.094 0.012 
 20680 56453.678605 r 15.243 0.014 
 20680 56453.747565 r 15.323 0.010 
 20680 56453.748378 r 15.332 0.010 
 20680 56453.748937 r 15.307 0.012 
 20680 56465.454568 r 14.895 0.010 
 20680 56465.455249 r 14.884 0.011 
 20680 56465.455691 r 14.902 0.010 
 20680 56465.462665 r 14.907 0.010 
 20680 56465.463356 r 14.901 0.010 
 20680 56465.463783 r 14.907 0.010 
 20680 56467.462713 r 14.971 0.010 
 20680 56467.463393 r 14.971 0.010 
 20680 56467.463847 r 14.972 0.010 
 20680 56724.814885 r 15.021 0.010 
 20680 56724.815323 r 15.016 0.010 
 20680 56724.837694 r 15.084 0.011 
 20680 56724.838133 r 15.084 0.011 
 20680 56724.858302 r 15.131 0.010 
 20680 56724.858738 r 15.140 0.011 
 20680 56724.881196 r 15.188 0.011 
 20680 56724.881636 r 15.200 0.010 
 20680 56725.824447 r 15.080 0.010 
 20680 56725.824889 r 15.076 0.011 
 20680 56725.844726 r 15.129 0.010 
 20680 56725.845162 r 15.133 0.011 
 20680 56725.875055 r 15.222 0.011 
 20680 56725.875495 r 15.201 0.010 
 20680 56726.810271 r 15.063 0.010 
 20680 56726.810697 r 15.068 0.010 
 20680 56726.819387 r 15.075 0.011 
 20680 56726.819819 r 15.078 0.011 
 20680 56726.839819 r 15.141 0.010 
 20680 56726.840245 r 15.134 0.011 
 20680 56726.859958 r 15.180 0.011 
 20680 56726.860383 r 15.185 0.011 
 20680 56726.880322 r 15.239 0.011 
 20680 56726.880764 r 15.242 0.011 
 20680 56726.900425 r 15.268 0.010 
 20680 56726.900873 r 15.274 0.010 
 20680 56451.719126 i 15.155 0.011 
 20680 56451.719677 i 15.172 0.011 
 20680 56452.497345 i 14.618 0.012 
 20680 56452.497785 i 14.612 0.011 
 20680 56452.611183 i 14.936 0.013 
 20680 56452.611621 i 14.956 0.011 
 20680 56452.699593 i 15.129 0.013 
 20680 56452.700079 i 15.128 0.012 
 20680 56452.752902 i 15.212 0.012 
 20680 56452.753449 i 15.196 0.011 
 20680 56453.466139 i 14.566 0.012 
 20680 56453.466599 i 14.501 0.010 
 20680 56453.472711 i 14.548 0.013 
 20680 56453.473140 i 14.789 0.012 
 20680 56453.568639 i 14.884 0.011 
 20680 56453.569078 i 14.914 0.011 
 20680 56453.576087 i 14.898 0.012 
 20680 56453.576522 i 14.897 0.010 
 20680 56453.679063 i 15.123 0.014 
 20680 56453.679504 i 15.057 0.010 
 20680 56453.749491 i 15.170 0.012 
 20680 56465.456542 i 14.897 0.012 
 20680 56465.464214 i 14.891 0.010 
 20680 56465.464655 i 14.914 0.010 
 20680 56467.464288 i 14.975 0.010 
 20680 56467.464715 i 14.972 0.010 
 20680 56724.815764 i 15.008 0.011 
 20680 56724.816199 i 15.004 0.010 
 20680 56724.838569 i 15.053 0.010 
 20680 56724.859179 i 15.094 0.012 
 20680 56724.859614 i 15.096 0.010 
 20680 56724.882066 i 15.149 0.012 
 20680 56724.882496 i 15.145 0.010 
 20680 56726.811663 i 15.039 0.010 
 20680 56726.820248 i 15.062 0.010 
 20680 56451.720223 z 15.094 0.011 
 20680 56451.720708 z 15.170 0.014 
 20680 56452.498233 z 14.604 0.010 
 20680 56452.498661 z 14.600 0.011 
 20680 56452.612057 z 14.932 0.012 
 20680 56452.612487 z 14.954 0.012 
 20680 56452.700608 z 15.110 0.011 
 20680 56452.701148 z 15.105 0.010 
 20680 56452.753959 z 15.192 0.010 
 20680 56452.754501 z 15.204 0.011 
 20680 56453.467450 z 14.503 0.010 
 20680 56453.479073 z 14.611 0.011 
 20680 56453.479532 z 14.469 0.011 
 20680 56453.569520 z 14.875 0.011 
 20680 56453.569950 z 14.861 0.011 
 20680 56453.576983 z 14.903 0.011 
 20680 56453.577412 z 14.911 0.013 
 20680 56453.679926 z 15.098 0.012 
 20680 56453.680353 z 15.099 0.011 
 20680 56453.750520 z 15.292 0.012 
 20680 56453.751075 z 15.191 0.012 
 20680 56465.457415 z 14.867 0.010 
 20680 56465.465093 z 14.911 0.011 
 20680 56465.465539 z 14.934 0.010 
 20680 56467.465179 z 14.953 0.012 
 20680 56467.465622 z 14.967 0.011 
 20680 56724.816635 z 14.994 0.011 
 20680 56724.817063 z 14.980 0.011 
 20680 56724.839453 z 15.032 0.011 
 20680 56724.839896 z 15.029 0.010 
